"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","Uczelnia"
"381",72,400269659,"2024-01-25 19:07:51","2024-01-25 19:30:04","00:22:13","00:22:13","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5","Podejście do zajeć prowadzonych przez niektórych ćwiczeniowców","7","5","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć",1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,"","Chrześcijańskie podglebie","Przyjazna atmosfera","Ciężko przyznać dopiero zacząłem się tu uczyć","Wybrany kierunek znajdował się na liście","UKSW jest w Warszawie","UKSW dobrze prezentowało się na ""papierze""","Trudno powiedzieć","6","6","6","6","Trudno powiedzieć","3","Trudno powiedzieć","Trudno powiedzieć","7","7","7","7","7","Trudno powiedzieć","2","Trudno powiedzieć","6","Trudno powiedzieć","4","Trudno powiedzieć","5","3","6","Trudno powiedzieć","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Drążdżewo","Wieś","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:10","00:00:07","00:00:05","","","00:00:03","00:00:05","","00:00:06","","00:00:17","00:00:33","00:04:21","00:01:52","00:00:36","00:02:05","00:01:04","00:03:30","00:00:46","00:02:43","00:00:47","00:00:24","00:01:20","00:00:11","00:01:08","UKSW"
"382",73,400271009,"2024-01-25 19:46:45","2024-01-25 19:54:45","00:08:00","00:08:00","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","7","7","7","7","7","7",0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"","wykwalifikowana kadra","nowoczesność nauczania","dobre wyposażenie uczelni","odpowiadający kierunek","dobre opinie","możliwości rozwoju","7","5","Trudno powiedzieć","7","7","7","Trudno powiedzieć","7","5","7","6","7","7","7","7","Trudno powiedzieć","7","7","7","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","7","7","4","7","Trudno powiedzieć","Trudno powiedzieć","Kobieta","Kielce","Miasto 20 000-99 999 mieszkańców","świętokrzyskie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,1,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:04","00:00:10","00:00:04","","","00:00:03","00:00:03","","00:00:14","","00:00:22","","00:01:13","00:00:38","00:00:23","00:00:45","00:00:37","00:00:24","00:00:39","00:00:30","00:00:34","00:00:26","00:00:39","00:00:13","00:00:03","UKSW"
"383",74,400272572,"2024-01-25 20:17:46","2024-01-25 20:24:50","00:07:04","00:07:04","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Nie","","Tak","7. Wysoka satysfakcja","","6","4","4","3","4","6",0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"","Kampus, na którym jest integracja","Nowoczesność sprzętu","Praktyczne podejście prowadzących do zajęć","Miasto","Kierunek","Ilość osób","Trudno powiedzieć","4","3","6","6","4","2","2","2","6","6","6","5","5","5","2","6","5","4","3","Trudno powiedzieć","5","3","2","7","6","Trudno powiedzieć","5","5","Trudno powiedzieć","Kobieta","Radom","Miasto 100 000-499 999 mieszkańców","mazowieckie","Pracuję na etat (pełny lub część)",0,0,0,0,0,0,0,"",1,"","PC",NA,NA,"","00:00:21","00:00:09","00:00:06","","","00:00:04","00:00:10","00:00:17","00:00:03","","00:00:07","","00:00:32","00:00:24","00:00:19","00:01:11","00:00:21","00:00:04","00:00:53","00:00:27","00:00:35","00:00:23","00:00:29","00:00:07","00:00:02","UKSW"
"384",75,400272926,"2024-01-25 20:18:39","2024-01-25 20:33:25","00:14:46","00:14:46","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","To jest uczelnia pierwszego wyboru","","Nie","","Tak","1. Niska satysfakcja","większość wykładowców, a także bezużyteczne, trudne przedmioty nauczania","3","1","1","7","2","1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","lokalizacja","przedmioty nauczania","ogromne wymagania","poziom nauczania","miła atmosfera","społeczność","1","2","5","1","1","2","7","1","2","1","3","1","1","1","1","3","1","1","1","1","1","2","2","1","2","4","1","1","1","1","Wolę nie podawać","Częstochowa","Miasto 500 000 i więcej mieszkańców","dolnośląskie","Wolę nie odpowiadać",1,1,1,0,0,0,0,"",0,"Odczuwam duży dyskomfort przez sposób nauczania profesorów, niektórzy wykładowcy powinni mieć zakaz zbliżania się do młodych, ambitnych, chcących się kształcić ludzi. Uczelnia wygląda w miarę ładnie, jest mały kościółek. Gdybym ponownie wybierał/a uczelnie to dwa razy bym się zastanowił/a nad kształceniem się na UKSW.","PC",NA,NA,"","00:00:06","00:00:10","00:00:07","","","00:00:05","00:00:06","","00:00:05","","00:00:11","00:01:32","00:00:48","00:00:35","00:00:18","00:02:12","00:00:39","00:00:08","00:01:11","00:00:48","00:01:00","00:00:19","00:00:48","00:00:10","00:03:28","UKSW"
"385",76,400273376,"2024-01-25 20:36:33","2024-01-25 20:42:59","00:06:26","00:06:26","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Piąty","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","7","7","4","7","5","2",0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,"","Możliwość integracji z studentami (zajęcia tylko ze swoim rokiem)","Wybitni wykładowcy prof Michalski, prof Kotowski, prof Świerczyński","Nowoczesne podejście do nauczania niektórych wykładów","Możliwość integracji z innymi studentami (zajęcia w obrębie jednego roku","Dobre opinie na rynku pracy","Druga uczelnia po UW w Warszawie","5","4","3","6","6","3","1","1","1","5","5","5","7","6","5","1","5","6","6","6","1","4","1","7","7","6","7","7","1","2","Kobieta","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,1,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:09","00:00:13","00:00:04","","","00:00:05","00:00:07","","00:00:03","","00:00:12","","00:00:37","00:00:32","00:00:11","00:01:10","00:00:42","00:00:06","00:00:36","00:00:27","00:00:26","00:00:15","00:00:19","00:00:08","00:00:04","UKSW"
"386",77,400278902,"2024-01-25 18:05:40","2024-01-25 23:01:03","04:55:23","04:55:23","Historia sztuki",NA,"Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Nie","1. Niska satysfakcja","Zwiększenie kompetencji wykładowców i reagowanie kiedy wykładowcy zaczynają przekraczać granice","7","3","4","Nie jest to dla mnie istotne","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Homofobia, brak szacunku dla studenta","Chaos","Brak kompetencji","Brak szacunku dla studenta","Jest w Warszawie","","","2","4","7","5","1","4","7","1","1","1","6","1","1","3","6","4","6","1","1","3","1","4","7","7","7","7","2","1","7","4","Kobieta","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,1,0,0,0,"",0,"Na mojej uczelni, dochodzi do sytuacji, w których wykładowca sypia ze swoją studentką i żadne władze się tym nie interesują, przy czym do pozostałych studentek jest niesamowitym mizoginistą i nie ma żadnego szacunku wobec studentek.","PC",NA,NA,"","00:00:11","00:00:18","00:00:09","00:00:42","","","04:37:36","00:00:18","00:00:04","","00:00:17","00:00:44","00:00:39","00:00:26","00:00:34","00:00:35","00:00:37","00:00:11","00:01:59","00:01:02","00:00:34","00:06:01","00:00:39","00:00:08","00:01:39","UKSW"
"387",78,400280456,"2024-01-26 00:50:21","2024-01-26 01:00:10","00:09:49","00:09:49","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","6","","Trudno powiedzieć","5","5","Nie jest to dla mnie istotne","Trudno powiedzieć","Trudno powiedzieć",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","nie wiem","","","Oferuje wybrany przeze mnie kierunek na dobrym poziomie","znajduje się w Warszawie","jest uczelnią publiczną","Trudno powiedzieć","4","Trudno powiedzieć","5","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","2","6","6","6","6","6","2","Trudno powiedzieć","6","Trudno powiedzieć","5","5","Trudno powiedzieć","5","4","4","5","4","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Tomaszów Lubelski","Miasto do 19 999 mieszkańców","lubelskie","Nie pracuję",0,0,1,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:26","00:00:12","00:00:06","","","00:00:03","00:00:05","00:00:14","00:00:04","","00:00:15","","00:00:47","00:00:37","00:00:17","00:01:55","00:00:45","00:00:11","00:01:00","00:00:45","00:00:59","00:00:25","00:00:26","00:00:13","00:00:04","UKSW"
"388",79,400448387,"2024-01-26 11:55:29","2024-01-26 12:02:36","00:07:07","00:07:07","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","To jest uczelnia pierwszego wyboru","","Nie","","Nie","Nie wiem / trudno powiedzieć",".","5","6","7","Trudno powiedzieć","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,"",".",".",".","/","/","/","6","6","4","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","5","6","Trudno powiedzieć","Trudno powiedzieć","5","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:04","00:00:11","00:00:05","","","00:00:05","00:00:13","","00:00:04","","00:00:15","00:00:08","00:00:24","00:00:40","00:00:23","00:00:09","00:00:06","00:01:41","00:00:33","00:00:34","00:00:35","00:00:21","00:00:19","00:00:13","00:00:04","UKSW"
"389",80,400473884,"2024-01-26 13:32:57","2024-01-26 13:44:55","00:11:58","00:11:58","Prawo kanoniczne",NA,"Stacjonarne","Jednolite studia magisterskie","","","Drugi","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","7","7","7","7","7",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"","Dobre kontakty ze wszystkimi","Rozwój","Otwartość","Różnorodne kierunki","Miejsce","","6","Trudno powiedzieć","Trudno powiedzieć","7","7","6","6","7","7","7","7","7","7","6","Trudno powiedzieć","Trudno powiedzieć","7","7","7","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","7","Trudno powiedzieć","7","Trudno powiedzieć","7","Trudno powiedzieć","7","Kobieta","","Wieś","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"android-app://com.google.android.gm/","00:00:28","00:00:13","00:00:07","","","00:00:05","00:00:10","","00:00:05","","00:00:13","","00:00:57","00:00:46","00:02:28","00:00:06","00:00:37","00:00:24","00:01:44","00:01:03","00:01:07","00:00:26","00:00:30","00:00:25","00:00:04","UKSW"
"390",81,400479473,"2024-01-26 14:28:19","2024-01-26 14:48:25","00:20:06","00:20:07","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Piąty","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","3","Podejście prowadzących do studentów. Ustalenie reguł zaliczenia na początku semestru, a nie zmienianie reguł tydzień przed egzaminem bądź uzyskanie wpisu zaliczenia na podstawie obecności na wykładzie. 
Brak chęci i motywacji przez doktorantów do pracy i kreatywnego prowadzenia zajęć. 
Realne działanie samorządu/władz uczelni w przypadku zaistnienia różnego rodzaju problemów.
Nierealizowanie materii przedmiotu na wykładach, przykład: dwa semestry prawa handlowego, na których prowadzący odbiegał od materii wykładu (dodatkowo brak sylabusa w systemie USOS) 
W mojej opinii w przypadku niezrealizowania materii przedmiotu przez prowadzącego nie powinna być ona wymaga na egzaminie.
Brak zajęć praktycznych, przygotowujących do pracy w zawodzie. Brak regularnych wyjść do sądów czy innych instytucji.","6","5","6","Nie jest to dla mnie istotne","2","Nie jest to dla mnie istotne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"","-","-","-","Położenie geograficzne","Kierunek","","4","5","6","7","5","Trudno powiedzieć","1","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","4","5","Trudno powiedzieć","7","5","2","4","4","5","4","Trudno powiedzieć","Trudno powiedzieć","6","4","7","7","5","4","1","3","Wolę nie podawać","","Miasto 500 000 i więcej mieszkańców","mazowieckie","Nie pracuję",0,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:20","00:00:12","00:00:18","","","00:00:03","00:00:08","00:00:12","00:00:04","","00:00:16","00:10:15","00:01:09","00:01:03","00:00:28","00:00:32","00:00:34","00:00:16","00:01:04","00:00:57","00:00:45","00:00:30","00:00:40","00:00:16","00:00:05","UKSW"
"391",82,400484672,"2024-01-26 15:45:42","2024-01-26 15:54:08","00:08:26","00:08:26","Archiwistyka i zarządzanie dokumentacją",NA,"Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","Nie wiem / trudno powiedzieć","Tańsze pokoje akademickie dla osób dojeżdżających po kilka godzin dziennie","5","4","4","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,"","Nie","mam","pojęcia","Dojazd","","","4","4","7","6","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","5","6","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","6","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","6","7","7","7","7","7","7","Kobieta","Wołomin","Miasto 20 000-99 999 mieszkańców","mazowieckie","Nie pracuję",0,0,0,1,0,1,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:08","00:00:12","00:00:26","00:00:03","","","00:00:07","","00:00:04","","00:00:13","00:01:00","00:00:43","00:00:38","00:00:12","00:00:30","00:00:20","00:00:05","00:00:47","00:00:35","00:01:12","00:00:20","00:00:27","00:00:22","00:00:02","UKSW"
"392",83,400484930,"2024-01-26 15:49:29","2024-01-26 15:57:13","00:07:44","00:07:44","Archiwistyka i zarządzanie dokumentacją",NA,"Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Tak","Uniwersytet Warszawski","Nie","5",".","5","5","4","Nie jest to dla mnie istotne","Trudno powiedzieć","Trudno powiedzieć",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","Młoda uczelnia","Połączenie studiów teologicznych z innymi","","Zaintersowanie kierunkiem","Bliskość","","5","4","7","6","Trudno powiedzieć","Trudno powiedzieć","7","6","2","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","5","Trudno powiedzieć","4","7","4","6","Trudno powiedzieć","Trudno powiedzieć","5","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","1","4","6","Trudno powiedzieć","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Nie pracuję",1,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:11","00:00:13","00:00:05","00:00:02","","","00:00:10","","00:00:04","00:00:12","00:00:12","00:00:08","00:00:33","00:00:23","00:00:20","00:00:42","00:00:19","00:00:20","00:01:07","00:00:32","00:00:53","00:00:35","00:00:27","00:00:14","00:00:02","UKSW"
"393",84,400489958,"2024-01-26 16:49:18","2024-01-26 16:56:59","00:07:41","00:07:41","Historia",NA,"Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","7. Wysoka satysfakcja","","6","6","6","6","4","5",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"","Uczelnia powstała na przełomie XX i XXI wieku.","Absolwentami lub wykładowcami są niekiedy znani politycy.","Uczelnia powstała od zera, z niczego.","Dojazd","Kontakty między studentami","Możliwość kształcenia się","4","Trudno powiedzieć","6","2","4","1","3","5","4","1","3","7","7","7","4","1","7","4","2","6","1","7","5","3","1","7","2","4","5","7","Mężczyzna","Legionowo","Miasto 20 000-99 999 mieszkańców","mazowieckie","Nie pracuję",1,0,1,0,1,0,0,"",0,"Uczelnia powinna być apolityczna. Powinna także uczelnia mieć w programie studiów kierunki typu historia sportu itd.","Mobile",NA,NA,"http://m.facebook.com/","00:00:16","00:00:07","00:00:09","00:00:02","","","00:00:04","00:00:18","00:00:03","","00:00:09","","00:00:23","00:00:23","00:00:13","00:01:32","00:00:35","00:00:06","00:00:39","00:00:27","00:00:25","00:00:16","00:00:23","00:00:12","00:00:59","UKSW"
"394",85,400491446,"2024-01-26 16:59:03","2024-01-26 17:15:31","00:16:28","00:16:28","Historia",NA,"Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Tak","6","","7","6","6","7","5","4",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"","Wykładowcy kojarzą studentów, nie jesteśmy tylko anonimami","Nastawienie prostudenckie","Uczelnia szczególnie przyjazna ludziom niepelnosprawnym","Znajomi, którzy byli już na tej uczelni","Bezpłatne, stacjonarne studia","Mało studentów, łatwość integracji","4","5","6","5","5","Trudno powiedzieć","1","4","1","5","7","6","5","6","3","2","7","4","6","6","1","7","4","6","7","5","7","7","7","6","Kobieta","Myszyniec","Miasto do 19 999 mieszkańców","mazowieckie","Pracuję na etat (pełny lub część)",0,1,0,0,0,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:27","00:00:25","00:00:06","","00:00:04","","00:00:06","00:00:09","00:00:20","","00:00:18","","00:00:37","00:00:42","00:01:12","00:04:53","00:02:44","00:00:08","00:01:09","00:00:45","00:00:49","00:00:24","00:00:47","00:00:18","00:00:05","UKSW"
"395",86,400491614,"2024-01-26 16:50:08","2024-01-26 17:17:29","00:27:21","00:27:21","Archiwistyka i zarządzanie dokumentacją",NA,"Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet warszawski","Nie","","Nie","3","Zwiększenie klarowności systemu oceniania","7","5","4","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Ggd","Ggrtg","Hfdtg","Kierunek","Odległość","Wymagania","3","4","3","5","6","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","4","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","2","5","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","5","2","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Nie pracuję",1,0,0,0,0,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:15","00:00:17","00:01:00","00:00:09","","","00:00:11","00:00:28","00:00:14","","00:00:51","00:06:41","00:01:45","00:01:05","00:00:27","00:01:03","00:02:08","00:01:42","00:02:10","00:02:39","00:02:28","00:00:46","00:00:46","00:00:10","00:00:06","UKSW"
"396",87,400492583,"2024-01-26 17:16:24","2024-01-26 17:29:58","00:13:34","00:13:34","Prawo",NA,"Stacjonarne","Jednolite studia magisterskie","","","Drugi","To jest uczelnia pierwszego wyboru","","Nie","","Tak","4","Podejście do studenta, przestrzeganie regulaminu studiów","6","5","6","6","5","4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"","Rozbudowany kampus","Tradycja katolicka","","Łatwa rekrutacja","Lokalizacja","Kierunek","5","5","Trudno powiedzieć","4","5","3","5","1","Trudno powiedzieć","3","2","6","5","5","Trudno powiedzieć","1","7","4","4","Trudno powiedzieć","1","3","3","4","5","5","6","Trudno powiedzieć","6","Trudno powiedzieć","Kobieta","","Miasto 20 000-99 999 mieszkańców","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"Niby uczelnia katolicka, a we wszystkich świętych są zajęcia...","PC",NA,NA,"","00:00:17","00:00:11","00:00:08","","","00:00:04","00:00:05","","00:00:05","","00:00:10","00:00:28","00:00:35","00:00:46","00:00:27","00:01:33","00:00:37","00:00:02","00:00:45","00:00:42","00:00:45","00:00:24","00:01:51","00:01:15","00:02:24","UKSW"
"397",88,400494218,"2024-01-26 17:37:12","2024-01-26 17:55:55","00:18:43","00:18:43","Historia",NA,"Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Warszawski","Nie","","Nie","6","","5","7","6","Nie jest to dla mnie istotne","5","7",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Duża swoboda","Skoncentrowany w jednym miejscu i dobrze przemyślany kampus","","Obecność interesującego mnie kierunku studiów","Dobry dojazd","","3","4","5","7","6","6","5","Trudno powiedzieć","7","7","4","5","7","5","3","2","5","4","5","Trudno powiedzieć","1","6","3","4","Trudno powiedzieć","6","1","4","4","7","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Nie pracuję",0,0,1,0,0,0,0,"",0,"","PC",NA,NA,"https://l.facebook.com/","00:01:29","00:00:29","00:00:06","00:00:08","","","00:00:08","00:00:11","00:00:05","","00:00:35","","00:01:28","00:01:58","00:00:31","00:01:31","00:00:58","00:03:50","00:01:24","00:01:21","00:00:56","00:00:35","00:00:36","00:00:12","00:00:12","UKSW"
"398",89,400500893,"2024-01-26 20:02:52","2024-01-26 20:10:25","00:07:33","00:07:33","Politologia",NA,"Stacjonarne","Drugi","","Drugi","","To jest uczelnia pierwszego wyboru","","Tak","Wyższa Szkoła Finansów i Zarządzania w Warszawie","Nie","6","","5","3","6","Nie jest to dla mnie istotne","5","Trudno powiedzieć",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","rodzinna atmosfera","nietraktowanie mnie jako numeru indeksu","skupienie się na studencie - tego kim jest","bliskość miejsca zamieszkania","łatwa rekrutacja","","5","6","Trudno powiedzieć","5","4","5","Trudno powiedzieć","7","3","6","7","Trudno powiedzieć","5","5","5","Trudno powiedzieć","6","5","5","6","Trudno powiedzieć","7","6","3","3","2","5","Trudno powiedzieć","2","Trudno powiedzieć","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Pracuję na etat (pełny lub część)",0,0,0,0,0,1,0,"",0,"","PC",NA,NA,"https://l.facebook.com/","00:00:08","00:00:11","00:00:06","","00:00:03","","00:00:10","","00:00:04","00:00:17","00:00:15","","00:00:46","00:00:31","00:00:12","00:00:52","00:00:31","00:00:09","00:00:52","00:00:35","00:00:47","00:00:31","00:00:22","00:00:07","00:00:04","UKSW"
"399",90,400503671,"2024-01-26 21:19:21","2024-01-26 21:28:47","00:09:26","00:09:26","Chemia",NA,"Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Politechnika Warszawska","Tak","politechnika Warszawska","Tak","3","Poziom nauczania mógłby być wyższy","7","2","7","Nie jest to dla mnie istotne","3","Trudno powiedzieć",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"","Religia","","","dojazd","dostępność kierunku","","4","5","7","5","Trudno powiedzieć","1","7","Trudno powiedzieć","7","7","7","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","5","2","1","5","3","Trudno powiedzieć","7","7","7","7","7","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","Mężczyzna","Dosin","Wieś","mazowieckie","Nie pracuję",0,0,0,1,1,0,0,"",0,"","Mobile",NA,NA,"","00:00:12","00:00:09","00:00:04","00:00:04","","","00:00:06","00:00:08","00:00:03","00:00:07","00:00:16","00:01:32","00:00:52","00:00:45","00:00:23","00:00:43","00:00:17","00:00:07","00:00:49","00:00:44","00:00:54","00:00:23","00:00:24","00:00:21","00:00:03","UKSW"
"400",91,400507472,"2024-01-27 00:55:43","2024-01-27 01:04:28","00:08:45","00:08:45","Historia",NA,"Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5","Nic","4","6","7","5","6","Nie jest to dla mnie istotne",1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,"","Tradycja","Serdeczność","Miła atmosfera","Dostępność kierunków","Mała liczba studentów","Dobre opinie innych studentów","Trudno powiedzieć","5","3","7","Trudno powiedzieć","7","1","Trudno powiedzieć","Trudno powiedzieć","5","5","7","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","5","6","Trudno powiedzieć","Trudno powiedzieć","5","4","5","6","Trudno powiedzieć","1","4","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Kobyłka","Miasto do 19 999 mieszkańców","mazowieckie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:31","00:00:17","00:00:11","00:00:05","","","00:00:09","","00:00:05","","00:00:13","00:00:15","00:00:47","00:00:38","00:00:16","00:00:23","00:01:02","00:00:11","00:00:58","00:00:44","00:00:44","00:00:22","00:00:34","00:00:13","00:00:07","UKSW"
